gvt_performance_in_gsd;Person;Name;Age;Birthday;Gender;Account;YearOfExperience;Geographical Diversity;Time Zone Different;Follow The Sun Approach;Work Time;Asynchronous;Synchronous;Travel Costs And Time;Work From Any Where In World;Diversity Of Skills;Culture Differences;Language Different;Company;Policies;Project;Task Sets;Work Tasks;Team;Leadership;Formal;Informal;cooperation;coordination;Trust;Cohesion;Knowledge Sharing;Compliment;Reward;Conflict;Staff Turnover;Reliability Of Information;Data Repositories;Comfort Environment;Technical Problems;Lack Of Organizational Structure;Training;Experience;Team Size;Factors Impacted by Size;Teamness;Process;Process Framework;Framework Activities;Marketplace_demands;Faulty Definition ;Requirements Not Understood;Requirement Change;Framework Activities Principles;Design Problem;Coding Problem;Documentation Problem;Test and Maintenance Difficult;Product;Goal;Goal is unclear;Scope;Scope is unclear;Cost;Low Office Costs;Low Wages;Time;Work Tasks Scheduling ;Time Allocation;Effort Allocation;Effort Validation;Defined Responsibilities;Delivery Deadline;Quality;Quality Factors;Newness Technology;Stakeholder Participation Early;SW Complexity;SW Size;Reusable Software ;HW;Network Resource;SW Tools;person_country;person_company;person_skill;person_team;person_product;person_project
;person11;ben;43;11/11/1980;male;ben@Gmale;65_month;pakistan;time_zone_gmt+5;;work_hours_to_19;instagram;instagram.;;;agile_project_management_skill;;urdu;;;;;task11;;;;;;;;;;;;;;;;;;;;;;;;;;coding;;;;;understand_the_problem_you_are_trying_to_solve.(coding);;;;;;;;;;;;;;revise_OCI_as_required;1_day;3_person_day;TRUE;person(25_40_41);week2_day4;the_program_is_verifiable_by_design_and_programming.;verifiability;;;;;;;;;2;3;4;6;1;2
;person12;zhao;42;12/11/1981;fmale;zhao@Gmale;12_month;turkey;time_zone_gmt+2;;work_hours_to_20;telegram;telegram.;;;CISCO_skill;;turkish;;;;;task12;;;;;;;;;;;;;;;;;;;;;;;;;;testing;;;;;understand_basic_design_principles_and_concepts.(coding);;;;;;;;;;;;;;define_keyboard_functions;3_day;4_person_day;TRUE;person(1_3_4_6);week3_day3;the_program_is_subject_to_expansion_and_improvement_in_the_future.;expandability;;;;;;;;;1;2;4;5;1;2
;person13;irina;41;13/11/1982;fmale;irina@Gmale;13_month;russia;time_zone_gmt+3;;work_hours_to_21;youTube;qq;;;oracle_specialist_skill;;russian;;;;;task13;;;;;;;;;;;;;;;;;;;;;;;;;;requirement_analysis;;;;;pick_a_programming_language_that_meets_the_needs_of_the_software_to_be_built_and_the_environment_in_which_it_will_operate.(coding);;;;;;;;;;;;;;define_voice_input_functions;4_day;4_person_day;TRUE;person(7_14_15_23);week3_day4;the_program_contains_protection_algorithms_in_the_event_of_a_system_failure.;safety;;;;;;;;;13;5;3;5;1;2
;person14;makoto;40;14/11/1983;male;makoto@Gmale;14_month;;;;work_hours_to_22;;kakaoTalk;;;communication_and_Interpersonal_skills;;;;;;;task14;;;;;;;;;;;;;;;;;;;;;;;;;;system_design;;;;;select_a_programming_environment_that_provides_tools_that_will_make_your_work_easier.(coding);;;;;;;;;;;;;;describe_modes_of_interaction;3_day;4_person_day;TRUE;person(26_30_34_39);week3_day4;the_program_contains_support_for_updates_and_maintenance.;manageability;;;;;;;;;4;4;5;2;1;2
;person15;oliver;39;15/12/1984;fmale;oliver@Gmale;15_month;;;;work_hours_to_23;;;;;negotiation_and_cost-benefit_analysis_skill;;;;;;;task15;;;;;;;;;;;;;;;;;;;;;;;;;;architectural_design;;;;;create_a_set_of_unit_tests_that_will_be_applied_once_the_component_you_code_is_completed.(coding);;;;;;;;;;;;;;describe_spell_grammar_check;3_day;6_person_day;TRUE;person(43_48_49_55_2_5);week3_day4;the_program_runs_for_long_periods_without_stopping.;survivability;;;;;;;;;8;1;5;2;1;2
;person16;mohammed;38;16/12/1985;fmale;mohammed@Gmale;16_month;;;;work_hours_to_24;;;;;JavaScript_skill;;;;;;;task16;;;;;;;;;;;;;;;;;;;;;;;;;;unit_testing;;;;;constrain_your_algorithms_by_following_structured_programming_practice.(coding);;;;;;;;;;;;;;describe_other_WP_functions;3_day;6_person_day;TRUE;person(10_28_29_37_35_42);week3_day4;;;;;;;;;;;12;3;18;1;1;2
;person17;denis;37;17/12/1986;male;denis@Gmale;17_month;;;;;;;;;HTML_skill;;;;;;;task17;;;;;;;;;;;;;;;;;;;;;;;;;;integration_testing;;;;;consider_the_use_of_pair_programming.(coding);;;;;;;;;;;;;;review2_OCI_with_customer;1_day;4_person_day;TRUE;person(32_46_50_51);week3_day5;;;;;;;;;;;10;3;6;1;1;2
;person18;yuni;36;18/12/1987;fmale;yuni@Gmale;18_month;;;;;;;;;c_skill;;;;;;;task18;;;;;;;;;;;;;;;;;;;;;;;;;;system_testing;;;;;select_data_structures_that_will_meet_the_needs_of_the_design.(coding);;;;;;;;;;;;;;revise_as_required;1_day;4_person_day;TRUE;person(56_62_64_65);week4_day1;;;;;;;;;;;9;2;6;4;1;2
;person19;gabriel;36;19/01/1988;fmale;gabriel@Gmale;19_month;;;;;;;;;documentation_and_presentation_skill;;;;;;;task19;;;;;;;;;;;;;;;;;;;;;;;;;;acceptance_testing;;;;;understand_the_software_architecture_and_create_interfaces_that_are_consistent_with_it.(coding);;;;;;; ;;;;;;;research_text_editing_components;1_day;3_person_day;TRUE;person(12_13_20);week4_day2;;;;;;;;;;;6;1;7;4;1;2
;person20;mia;35;20/01/1989;fmale;mia@Gmale;20_month;;;;;;;;;microsoft_excel_skill;;;;;;;task20;;;;;;;;;;;;;;;;;;;;;;;;;;cutover;;;;;conduct_a_code_walkthrough_when_appropriate.(coding);;;;;;;;;;;;;;research_voice_input_components;1_day;2_person_day;TRUE;person(21_31);week4_day3;;;;;;;;;;;2;3;7;5;1;2
;person21;ana;34;21/01/1990;fmale;ana@Gmale;21_month;;;;;;;;;;;;;;;;task21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;perform_unit_tests_and_correct_errors_you_have_uncovered.(coding);;;;;;;;;;;;;;research_file_management_components;1_day;2_person_day;TRUE;person(44_57);week4_day1;;;;;;;;;;;7;1;4;5;1;2
;person22;emely;33;22/01/1991;fmale;emely@Gmale;22_month;;;;;;;;;;;;;;;;task22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;refactor_the_code_to_improve_its_quality.(coding);;;;;;;;;;;;;;research_spell_grammar_check_components;1_day;3_person_day;TRUE;person(58_59_60);week4_day3;;;;;;;;;;;8;1;8;1;1;2
;person23;dinara;32;23/01/1992;male;dinara@Gmale;23_month;;;;;;;;;;;;;;;;task23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;customer_expectations_for_the_software_must_be_managed.(deployment);;;;;;;;;;;;;;evaluate_voice_input;4_day;2_person_day;TRUE;person(8_24);week5_day2;;;;;;;;;;;13;5;10;2;1;2
;person24;ahmed;31;24/01/1993;fmale;ahmed@Gmale;1_month;;;;;;;;;;;;;;;;task24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;a_complete_delivery_package_should_be_assembled_and_tested.(deployment);;;;;;;;;;;;;;evaluate_grammar_checking;3_day;2_person_day;TRUE;person(18_19);week5_day2;;;;;;;;;;;12;3;8;4;1;2
;person25;wang;30;25/01/1994;fmale;wang@Gmale;2_month;;;;;;;;;;;;;;;;task25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;a_support_regimen_must_be_established_before_the_software_is_delivered.(deployment);;;;;;;;;;;;;;review_scope_document_with_customer;1_day;2_person_day;TRUE;person(27_33);week5_day4;;;;;;;;;;;1;2;9;1;1;2
;person26;sajan;29;26/01/1995;male;sajan@Gmale;3_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;appropriate_instructional_materials_must_be_provided_to_end_users.(deployment);;;;;;;;;;;;;;revise_document_as_required;1_day;2_person_day;TRUE;person(36_52);week5_day5;;;;;;;;;;;3;6;9;2;1;2
;person27;koboto;28;27/01/1996;fmale;koboto@Gmale;4_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;buggy_software_should_be_fixed_first_delivered_later.(deployment);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;9;4;1;2
;person28;kan;27;28/01/1997;fmale;kan@Gmale;5_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;listen_before_communicating.(communication);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;10;3;1;2
;person29;lucas;26;29/01/1998;male;lucas@Gmale;6_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Prepare_before_you_communicate.(communication);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;10;3;1;2
;person30;dmitri;25;30/01/1999;fmale;dmitri@Gmale;7_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Take_notes_and_document_decisions.(communication);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;5;18;2;1;2
;person31;natalya;24;01/02/2000;fmale;natalya@Gmale;8_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;If_something_is_unclear_draw_a_picture.(communication);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;5;11;5;1;2
;person32;zhao;23;02/02/2001;male;zhao@Gmale;9_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;11;3;1;2
;person33;arjun;22;03/02/2002;fmale;arjun@Gmale;10_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;6;11;4;1;2
;person34;asahi;54;01/02/1970;fmale;asahi@Gmale;34_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;12;2;1;2
;person35;arthur;53;02/02/1971;male;arthur@Gmale;35_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;12;3;1;2
;person36;igor;52;03/02/1972;fmale;igor@Gmale;36_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;5;12;4;1;2
;person37;matheus;51;04/02/1973;fmale;matheus@Gmale;37_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;13;3;1;2
;person38;sasha;50;05/02/1974;fmale;sasha@Gmale;38_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;5;13;6;1;2
;person39;liu;49;06/03/1975;fmale;liu@Gmale;39_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;13;2;1;2
;person40;aleksandr;48;07/03/1976;male;aleksandr@Gmale;40_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;5;14;1;1;2
;person41;ali;47;08/03/1977;fmale;ali@Gmale;41_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;6;15;1;1;2
;person42;lena;46;09/03/1978;fmale;lena@Gmale;42_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;16;3;1;2
;person43;arham;45;10/03/1979;fmale;arham@Gmale;43_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;6;16;2;1;2
;person44;jay;44;11/04/1980;male;jay@Gmale;44_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;6;2;5;1;2
;person45;Zidane;43;12/04/1981;fmale;Zidane@Gmale;45_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;3;7;6;1;2
;person46;febriana;42;13/04/1982;fmale;febriana@Gmale;46_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;2;17;3;1;2
;person47;leon;41;14/04/1983;fmale;leon@Gmale;47_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;18;6;1;2
;person48;veer;40;15/05/1984;male;veer@Gmale;48_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;6;17;2;1;2
;person49;ethan;39;16/05/1985;fmale;ethan@Gmale;49_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;18;2;1;2
;person50;dominik;38;17/05/1986;male;dominik@Gmale;50_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;5;18;3;1;2
;person51;atheel;37;18/05/1987;fmale;atheel@Gmale;51_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;6;18;3;1;2
;person52;Jose;36;19/05/1988;male;Jose@Gmale;52_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;6;4;1;2
;person53;ayaan;35;20/06/1989;fmale;ayaan@Gmale;53_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;6;5;6;1;2
;person54;marat;34;21/06/1990;male;marat@Gmale;54_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;5;19;6;1;2
;person55;chen;33;22/06/1991;fmale;chen@Gmale;27_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;20;2;1;2
;person56;arian;32;23/08/1992;male;arian@Gmale;28_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;6;14;3;1;2
;person57;isama;31;24/08/1993;fmale;isama@Gmale;32_month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;20;5;1;2
